id,profile_path,profile_samples,profile_nodes,profile_start_s,profile_end_s,profile_weighted_fraction_time_average,profile_support_fraction_time_average,profile_weighted_fraction_initial,profile_weighted_fraction_end,profile_support_fraction_initial,profile_support_fraction_end,profile_mean_C_end,profile_max_C_end,profile_mass_fraction_C_above_015_end,profile_min_T_C,profile_max_T_C
t2_q3_fix_cur_lowC_d_p100_c200_s010,results/profiles/t2_q3_fix_cur_lowC_d_p100_c200_s010.npz,366,321,0.0,193955.02897912232,0.5992571104426623,0.6017359813403294,0.0,0.9999942169070344,0.0,1.0000000000000002,0.12430721843664487,0.15,0.0,28.0,50.00775300002424
t2_q3_fix_cur_lowC_d_m100_c200_s040,results/profiles/t2_q3_fix_cur_lowC_d_m100_c200_s040.npz,396,321,0.0,220110.57633789926,0.5918517982079768,0.6307788758260321,0.0,0.9689217858831057,0.0,1.0000000000000002,0.12436900494196516,0.15,0.0,28.0,50.00775300002424
t2_q3_fix_cur_lowC_d_p100_c200_s040,results/profiles/t2_q3_fix_cur_lowC_d_p100_c200_s040.npz,367,321,0.0,194757.19713022647,0.5657941405367718,0.6023382144148085,0.0,0.9690730454792985,0.0,1.0000000000000002,0.12424467318696647,0.15,0.0,28.0,50.00775300002424
t2_q4_mov_cur_baseline,results/profiles/t2_q4_mov_cur_baseline.npz,354,321,0.0,183918.654978427,0.0,0.0,0.0,0.0,0.0,0.0,0.11840393974655557,0.15,0.0,28.0,50.01534364897293
t2_q4_mov_cur_outer_d_m100_w050,results/profiles/t2_q4_mov_cur_outer_d_m100_w050.npz,356,321,0.0,185647.63862514865,0.0974854985314919,0.09773223287246904,0.0974854985314919,0.0974854985314919,0.09773223287246903,0.09773223287246903,0.11886500189628135,0.15,0.0,28.0,50.01506169837017
t2_q4_mov_cur_outer_d_m050_w050,results/profiles/t2_q4_mov_cur_outer_d_m050_w050.npz,355,321,0.0,184761.68612315448,0.0974854985314919,0.09773223287246903,0.0974854985314919,0.0974854985314919,0.09773223287246903,0.09773223287246903,0.11863140092463181,0.15,0.0,28.0,50.015205084894355
t2_q4_mov_cur_outer_d_p050_w050,results/profiles/t2_q4_mov_cur_outer_d_p050_w050.npz,353,321,0.0,183116.4242259485,0.0974854985314919,0.09773223287246904,0.0974854985314919,0.0974854985314919,0.09773223287246903,0.09773223287246903,0.11818253399230541,0.15,0.0,28.0,50.012534183387366
t2_q4_mov_cur_outer_d_p100_w050,results/profiles/t2_q4_mov_cur_outer_d_p100_w050.npz,353,321,0.0,182352.84872242046,0.09748549853149188,0.09773223287246904,0.0974854985314919,0.0974854985314919,0.09773223287246903,0.09773223287246903,0.11796709389862464,0.15,0.0,28.0,50.01265965887818
t2_q4_mov_cur_outer_d_m100_w100,results/profiles/t2_q4_mov_cur_outer_d_m100_w100.npz,358,321,0.0,187346.2021300362,0.189922103423586,0.18827475009230463,0.18992210342358595,0.189922103423586,0.18827475009230468,0.18827475009230468,0.11913680373645026,0.15,0.0,28.0,50.01196013378718
t2_q4_mov_cur_outer_d_m050_w100,results/profiles/t2_q4_mov_cur_outer_d_m050_w100.npz,356,321,0.0,185588.98303185444,0.189922103423586,0.18827475009230463,0.18992210342358595,0.18992210342358595,0.18827475009230468,0.18827475009230468,0.11876735513498843,0.15,0.0,28.0,50.01218487053382
t2_q4_mov_cur_outer_d_p050_w100,results/profiles/t2_q4_mov_cur_outer_d_p050_w100.npz,353,321,0.0,182330.91613170816,0.18992210342358598,0.18827475009230465,0.18992210342358595,0.18992210342358595,0.18827475009230468,0.18827475009230468,0.11804668331175264,0.15,0.0,28.0,50.012618082591096
t2_q4_mov_cur_outer_d_p100_w100,results/profiles/t2_q4_mov_cur_outer_d_p100_w100.npz,351,321,0.0,180821.41765744006,0.18992210342358595,0.1882747500923046,0.18992210342358595,0.18992210342358595,0.18827475009230468,0.18827475009230468,0.11769569319839876,0.15,0.0,28.0,50.01282648568809
t2_q4_mov_cur_outer_d_m100_w200,results/profiles/t2_q4_mov_cur_outer_d_m100_w200.npz,362,321,0.0,190536.86101321218,0.35967373598378444,0.36027242659231595,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.1193879639760316,0.15,0.0,28.0,50.011819376029784
t2_q4_mov_cur_outer_d_m050_w200,results/profiles/t2_q4_mov_cur_outer_d_m050_w200.npz,358,321,0.0,187142.8686687522,0.35967373598378444,0.36027242659231595,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.11889598743386517,0.15,0.0,28.0,50.012113302565076
t2_q4_mov_cur_outer_d_p050_w200,results/profiles/t2_q4_mov_cur_outer_d_p050_w200.npz,351,321,0.0,180855.87137902103,0.3596737359837844,0.360272426592316,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.11791229659058867,0.15,0.0,28.0,50.01269177971225
t2_q4_mov_cur_outer_d_p100_w200,results/profiles/t2_q4_mov_cur_outer_d_p100_w200.npz,347,321,0.0,177946.29945467808,0.3596737359837844,0.360272426592316,0.3596737359837844,0.3596737359837844,0.3602724265923159,0.3602724265923159,0.11742152530383095,0.15,0.0,28.0,50.01297576047837
t2_q4_mov_cur_inner_d_m100_w050,results/profiles/t2_q4_mov_cur_inner_d_m100_w050.npz,372,321,0.0,199223.08406346093,0.9025145014685081,0.9022677671275311,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.11795360583775497,0.15,0.0,28.0,50.01205307765238
t2_q4_mov_cur_inner_d_m050_w050,results/profiles/t2_q4_mov_cur_inner_d_m050_w050.npz,363,321,0.0,191374.69476349352,0.9025145014685081,0.9022677671275311,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.11817571953752856,0.15,0.0,28.0,50.01222795017278
t2_q4_mov_cur_inner_d_p050_w050,results/profiles/t2_q4_mov_cur_inner_d_p050_w050.npz,346,321,0.0,176836.09895275248,0.9025145014685083,0.902267767127531,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.11863836310055478,0.15,0.0,28.0,50.01258184061679
t2_q4_mov_cur_inner_d_p100_w050,results/profiles/t2_q4_mov_cur_inner_d_p100_w050.npz,338,321,0.0,170108.79514689185,0.9025145014685082,0.9022677671275309,0.9025145014685082,0.9025145014685082,0.902267767127531,0.902267767127531,0.11887908095414634,0.15,0.0,28.0,50.012760873493896
t2_q4_mov_cur_inner_d_m100_w100,results/profiles/t2_q4_mov_cur_inner_d_m100_w100.npz,370,321,0.0,197527.92772903194,0.8100778965764142,0.8117252499076956,0.8100778965764142,0.8100778965764144,0.8117252499076955,0.8117252499076955,0.11768196681626485,0.15,0.0,28.0,50.01222282531766
t2_q4_mov_cur_inner_d_m050_w100,results/profiles/t2_q4_mov_cur_inner_d_m050_w100.npz,362,321,0.0,190548.23110407632,0.8100778965764142,0.8117252499076956,0.8100778965764142,0.8100778965764144,0.8117252499076955,0.8117252499076955,0.1180398078913775,0.15,0.0,28.0,50.012312558502
t2_q4_mov_cur_inner_d_p050_w100,results/profiles/t2_q4_mov_cur_inner_d_p050_w100.npz,347,321,0.0,177622.28392377868,0.8100778965764142,0.8117252499076955,0.8100778965764142,0.8100778965764142,0.8117252499076955,0.8117252499076955,0.11877425343215367,0.15,0.0,28.0,50.014798208997256
t2_q4_mov_cur_inner_d_p100_w100,results/profiles/t2_q4_mov_cur_inner_d_p100_w100.npz,340,321,0.0,171642.74985353198,0.8100778965764142,0.8117252499076956,0.8100778965764142,0.8100778965764142,0.8117252499076955,0.8117252499076955,0.1191506210993,0.15,0.0,28.0,50.01488895463776
t2_q4_mov_cur_inner_d_m100_w200,results/profiles/t2_q4_mov_cur_inner_d_m100_w200.npz,366,321,0.0,194342.15101388266,0.640326264016216,0.6397275734076844,0.6403262640162158,0.6403262640162154,0.6397275734076842,0.6397275734076842,0.11740746392985223,0.15,0.0,28.0,50.014680260220594
t2_q4_mov_cur_inner_d_m050_w200,results/profiles/t2_q4_mov_cur_inner_d_m050_w200.npz,360,321,0.0,188995.4776882686,0.640326264016216,0.6397275734076844,0.6403262640162158,0.6403262640162158,0.6397275734076842,0.6397275734076842,0.11790533676544039,0.15,0.0,28.0,50.01469406659375
t2_q4_mov_cur_inner_d_p050_w200,results/profiles/t2_q4_mov_cur_inner_d_p050_w200.npz,349,321,0.0,179098.30423120968,0.640326264016216,0.6397275734076843,0.6403262640162158,0.6403262640162158,0.6397275734076842,0.6397275734076842,0.1189028001661242,0.15,0.0,28.0,50.01472634443574
t2_q4_mov_cur_inner_d_p100_w200,results/profiles/t2_q4_mov_cur_inner_d_p100_w200.npz,343,321,0.0,174521.44805299185,0.640326264016216,0.6397275734076844,0.6403262640162158,0.6403262640162158,0.6397275734076842,0.6397275734076842,0.11940143717179585,0.15,0.0,28.0,50.01474482658494
t2_q4_mov_cur_lowC_d_m100_c150_s020,results/profiles/t2_q4_mov_cur_lowC_d_m100_c150_s020.npz,361,321,0.0,189721.996302865,0.30684238989712204,0.3101790500604667,0.0,0.8687306607227565,0.0,0.9999945154201257,0.118904813981339,0.15,0.0,28.0,50.01470942581324
t2_q4_mov_cur_lowC_d_m050_c150_s020,results/profiles/t2_q4_mov_cur_lowC_d_m050_c150_s020.npz,358,321,0.0,186790.72990872612,0.3053938433704925,0.3090385096407585,0.0,0.8705872343840956,0.0,0.9999945154201257,0.11865492305539876,0.15,0.0,28.0,50.01470942581324
t2_q4_mov_cur_lowC_d_p050_c150_s020,results/profiles/t2_q4_mov_cur_lowC_d_p050_c150_s020.npz,351,321,0.0,181104.55638879788,0.30253175484812583,0.30683653732759175,0.0,0.8742905265855114,0.0,0.9999945154201257,0.11815189208331144,0.15,0.0,28.0,50.01470942581324
