id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,comparison,reference_id,candidate_status,reference_status,effect_definition,perturb_support_dry_mass_fraction,reference_perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,reference_perturb_weighted_dry_mass_fraction,tcritical_s,reference_tcritical_s,delta_tcritical_s,relative_delta_tcritical_s,tcritical_s_pair_available,tmean_s,reference_tmean_s,delta_tmean_s,relative_delta_tmean_s,tmean_s_pair_available,tail_s,reference_tail_s,delta_tail_s,relative_delta_tail_s,tail_s_pair_available,comparison_status,weighted_logD_dose,mask_interpretation,d_tcritical_s_per_logD_amplitude,d_tcritical_s_per_weighted_logD_dose,d_tmean_s_per_logD_amplitude,d_tmean_s_per_weighted_logD_dose,d_tail_s_per_logD_amplitude,d_tail_s_per_weighted_logD_dose
t2_q3_fix_cur_outer_d_p100_w200,2,3,False,0.0,current_dry_density,outer,0.1,0.2,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.3602724265923158,0.0,0.3596737359837844,0.0,200245.38036091052,206906.37119180989,-6660.990830899362,-0.03219326109936158,True,123763.10670674336,129689.55266173928,-5926.445954995914,-0.04569717323687184,True,76482.27365416719,77216.8185300706,-734.5448759034043,-0.00951275758165755,True,both_critical_reached,0.03596737359837844,fixed material-label mask,-66609.90830899362,-185195.36358917423,-59264.45954995914,-164772.83054282013,-7345.448759034043,-20422.533046352895
t2_q3_fix_cur_inner_d_m100_w050,2,3,False,0.0,current_dry_density,inner,-0.1,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.902267767127531,0.0,0.902514501468508,0.0,224233.2293903026,206906.37119180989,17326.8581984927,0.08374250680966253,True,138615.71627969434,129689.55266173928,8926.16361795507,0.06882716020492873,True,85617.51311060827,77216.8185300706,8400.694580537674,0.10879358591115984,True,both_critical_reached,-0.0902514501468508,fixed material-label mask,-173268.581984927,-191984.2636356497,-89261.6361795507,-98903.27084419192,-84006.94580537674,-93080.99279145827
t2_q3_fix_cur_inner_d_m050_w050,2,3,False,0.0,current_dry_density,inner,-0.05,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.9022677671275308,0.0,0.902514501468508,0.0,215344.4310706387,206906.37119180989,8438.059878828819,0.04078202053530011,True,134035.5113691528,129689.55266173928,4345.958707413534,0.033510476504987355,True,81308.9197014859,77216.8185300706,4092.101171415299,0.05299494655845876,True,both_critical_reached,-0.0451257250734254,fixed material-label mask,-168761.19757657638,-186990.0121294229,-86919.17414827069,-96307.78675228146,-81842.02342830598,-90682.22537714176
t2_q3_fix_cur_inner_d_p050_w050,2,3,False,0.0,current_dry_density,inner,0.05,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.9022677671275312,0.0,0.9025145014685082,0.0,198896.7769712796,206906.37119180989,-8009.594220530271,-0.03871120146950468,True,125566.31196857162,129689.55266173928,-4123.240693167652,-0.031793159961944116,True,73330.46500270799,77216.8185300706,-3886.353527362604,-0.0503304021241064,True,both_critical_reached,0.04512572507342541,fixed material-label mask,-160191.88441060542,-177495.08085460393,-82464.81386335305,-91372.28679336686,-77727.07054725208,-86122.79406123674
t2_q3_fix_cur_inner_d_p100_w050,2,3,False,0.0,current_dry_density,inner,0.1,0.05,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.9022677671275312,0.0,0.902514501468508,0.0,191294.42589484036,206906.37119180989,-15611.945296969527,-0.07545415449047083,True,121654.7832398994,129689.55266173928,-8034.769421839868,-0.0619538679634159,True,69639.64265494094,77216.8185300706,-7577.175875129658,-0.09812856861201649,True,both_critical_reached,0.0902514501468508,fixed material-label mask,-156119.45296969527,-172982.7639507938,-80347.69421839868,-89026.4855441797,-75771.75875129658,-83956.27840661409
t2_q3_fix_cur_inner_d_m100_w100,2,3,False,0.0,current_dry_density,inner,-0.1,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.8117252499076951,0.0,0.810077896576414,0.0,222332.66466992363,206906.37119180989,15426.293478113745,0.07455687995133314,True,136886.27173724593,129689.55266173928,7196.719075506655,0.055491895282246705,True,85446.3929326777,77216.8185300706,8229.574402607104,0.10657748608746753,True,both_critical_reached,-0.08100778965764141,fixed material-label mask,-154262.93478113745,-190429.75426571947,-71967.19075506655,-88839.84004404684,-82295.74402607104,-101589.9142216728
t2_q3_fix_cur_inner_d_m050_w100,2,3,False,0.0,current_dry_density,inner,-0.05,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.811725249907695,0.0,0.810077896576414,0.0,214419.291588016,206906.37119180989,7512.920396206115,0.03631072524703147,True,133195.37772144645,129689.55266173928,3505.8250597071747,0.02703244006748321,True,81223.91386656952,77216.8185300706,4007.0953364989255,0.05189407453945334,True,both_critical_reached,-0.040503894828820705,fixed material-label mask,-150258.4079241223,-185486.36934688728,-70116.5011941435,-86555.25782208459,-80141.90672997851,-98931.11152480233
t2_q3_fix_cur_inner_d_p050_w100,2,3,False,0.0,current_dry_density,inner,0.05,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.8117252499076951,0.0,0.810077896576414,0.0,199773.9048762604,206906.37119180989,-7132.466315549478,-0.03447195112680903,True,126359.64279728686,129689.55266173928,-3329.90986445242,-0.02567600701914367,True,73414.26207897355,77216.8185300706,-3802.5564510970435,-0.049245184190231966,True,both_critical_reached,0.040503894828820705,fixed material-label mask,-142649.32631098956,-176093.3447435861,-66598.1972890484,-82212.09043044942,-76051.12902194087,-93881.25431313632
t2_q3_fix_cur_inner_d_p100_w100,2,3,False,0.0,current_dry_density,inner,0.1,0.1,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.8117252499076951,0.0,0.8100778965764142,0.0,193002.96919933552,206906.37119180989,-13903.401992474362,-0.06719658709583859,True,123197.0348575233,129689.55266173928,-6492.517804215982,-0.05006199551902218,True,69805.93434181223,77216.8185300706,-7410.884188258366,-0.09597500038637749,True,both_critical_reached,0.08100778965764142,fixed material-label mask,-139034.01992474362,-171630.43271805727,-64925.17804215982,-80146.8331830178,-74108.84188258366,-91483.59953503929
t2_q3_fix_cur_inner_d_m100_w200,2,3,False,0.0,current_dry_density,inner,-0.1,0.2,0.2,0.02,same-task affine or diffusivity baseline,t2_q3_fix_cur_baseline,reached,reached,candidate minus reference,0.6397275734076843,0.0,0.6403262640162157,0.0,218787.528765626,206906.37119180989,11881.157573816105,0.05742286960705444,True,134251.63884775093,129689.55266173928,4562.0861860116565,0.035176975264234626,True,84535.88991787503,77216.8185300706,7319.0713878044335,0.09478597444356196,True,both_critical_reached,-0.06403262640162158,fixed material-label mask,-118811.57573816105,-185548.49678187218,-45620.861860116565,-71246.27619360191,-73190.71387804433,-114302.22058827004
