id,task,question,moving_radius,eps_final,boundary_norm,perturb_kind,logD_delta,region_width,C_cut,C_smooth,backend,N,rtol,atol,status,solver_status,tcritical_s,tmean_s,tail_s,t_end_s,horizon_s,mass_audit_rel,mass_audit_note,max_C_end,mean_C_end,initial_dry_mass_kg,empirical_dry_mass_ratio_end,perturb_support_dry_mass_fraction,perturb_weighted_dry_mass_fraction,event_bracket_s,batch_wall_s
t2_q3_fix_cur_inner_d_m050_w050,2,3,False,0.0,current_dry_density,inner,-0.05,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,215344.4310706387,134035.5113691528,81308.9197014859,215344.4310706387,259200.0,0.00015575354709628563,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12410576339570753,0.08640707230887533,2.154260932446855,0.9022677671275308,0.9025145014685081,"[215344.1113347812, 215345.1113347812]",344.03950599208474
t2_q3_fix_cur_inner_d_p050_w050,2,3,False,0.0,current_dry_density,inner,0.05,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,198896.7769712796,125566.31196857162,73330.46500270799,198896.7769712796,259200.0,0.00015643473416056464,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12451267458039902,0.08640707230887533,2.1536308805015048,0.9022677671275311,0.9025145014685082,"[198896.1113347812, 198897.1113347812]",344.03950599208474
t2_q3_fix_cur_inner_d_p100_w050,2,3,False,0.0,current_dry_density,inner,0.1,0.05,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,191294.42589484033,121654.78323989939,69639.64265494094,191294.42589484033,259200.0,0.00015665044462032142,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.1247232921877426,0.08640707230887533,2.1533052716516248,0.9022677671275311,0.9025145014685081,"[191294.03535227483, 191295.03535227483]",353.4241788107902
t2_q3_fix_cur_inner_d_m100_w100,2,3,False,0.0,current_dry_density,inner,-0.1,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,222332.66466992363,136886.27173724593,85446.3929326777,222332.66466992363,259200.0,0.0001560886524782168,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12368235514497852,0.08640707230887533,2.1549094482969195,0.8117252499076951,0.810077896576414,"[222332.03535227483, 222333.03535227483]",353.4241788107902
t2_q3_fix_cur_inner_d_m050_w100,2,3,False,0.0,current_dry_density,inner,-0.05,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,214419.29158801597,133195.37772144645,81223.91386656952,214419.29158801597,259200.0,0.00015599577139876008,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12399242066576964,0.08640707230887533,2.1544325084882567,0.811725249907695,0.810077896576414,"[214419.03535227483, 214420.03535227483]",353.4241788107902
t2_q3_fix_cur_inner_d_p050_w100,2,3,False,0.0,current_dry_density,inner,0.05,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,199773.9048762604,126359.64279728686,73414.26207897355,199773.9048762604,259200.0,0.0001558700853380919,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12462552702962913,0.08640707230887533,2.1534603475441934,0.8117252499076951,0.810077896576414,"[199773.03535227483, 199774.03535227483]",353.4241788107902
t2_q3_fix_cur_inner_d_p100_w100,2,3,False,0.0,current_dry_density,inner,0.1,0.1,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,193002.96919933552,123197.0348575233,69805.93434181223,193002.96919933552,259200.0,0.00015583532634213897,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12494832791491303,0.08640707230887533,2.1529655218022823,0.8117252499076951,0.8100778965764142,"[193002.03535227483, 193003.03535227483]",353.4241788107902
t2_q3_fix_cur_inner_d_m100_w200,2,3,False,0.0,current_dry_density,inner,-0.1,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,218787.52876562596,134251.63884775093,84535.88991787503,218787.52876562596,259200.0,0.00015644593395846827,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12346873946177625,0.08640707230887533,2.155225525284854,0.6397275734076843,0.6403262640162157,"[218787.03535227483, 218788.03535227483]",353.4241788107902
t2_q3_fix_cur_inner_d_m050_w200,2,3,False,0.0,current_dry_density,inner,-0.05,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,212693.66491820876,131913.6281427225,80780.03677548625,212693.66491820876,259200.0,0.00015617837302221314,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12388810768044661,0.08640707230887533,2.15458662963048,0.6397275734076843,0.6403262640162157,"[212693.03535227483, 212694.03535227483]",353.4241788107902
t2_q3_fix_cur_inner_d_p050_w200,2,3,False,0.0,current_dry_density,inner,0.05,0.2,0.2,0.02,cupy,320,2e-05,1e-07,reached,reached_threshold,201410.04714938955,127573.71476884122,73836.33238054832,201410.04714938955,259200.0,0.00015567996150498865,Independent trapezoid on saved GPU samples; includes sampling error,0.15,0.12472460275533329,0.08640707230887533,2.1533144118689704,0.6397275734076843,0.6403262640162158,"[201410.03535227483, 201411.03535227483]",353.4241788107902
