question,moving_radius,perturb_kind,region_width,C_cut,C_smooth,positive_id,negative_id,baseline_id,amplitude,mask_is_state_dependent,paired_mean_weighted_mass_fraction,central_d_tcritical_s_per_logD,central_d_tcritical_s_per_weighted_logD,relative_central_d_tcritical_s,nonlinear_asymmetry_tcritical_s,central_d_tmean_s_per_logD,central_d_tmean_s_per_weighted_logD,relative_central_d_tmean_s,nonlinear_asymmetry_tmean_s,central_d_tail_s_per_logD,central_d_tail_s_per_weighted_logD,relative_central_d_tail_s,nonlinear_asymmetry_tail_s
4,True,outer,0.2,0.2,0.02,t2_q4_mov_cur_outer_d_p050_w200,t2_q4_mov_cur_outer_d_m050_w200,t2_q4_mov_cur_baseline,0.05,False,0.3596737359837844,-62869.97289731167,-174797.23039923637,-0.3418357583393925,161.43009091925342,-57443.85560858893,-159711.00990031348,-0.4563031784377605,137.2887425737281,-5426.1172887225985,-15086.220498922476,-0.09350701372960006,24.14134834552533
4,True,outer,0.2,0.2,0.02,t2_q4_mov_cur_outer_d_p100_w200,t2_q4_mov_cur_outer_d_m100_w200,t2_q4_mov_cur_baseline,0.1,False,0.3596737359837844,-62952.807792670355,-175027.53605425483,-0.3422861471015787,645.8505110362312,-57521.21557885912,-159926.09363462785,-0.4569176845488869,554.9130186775583,-5431.592213811382,-15101.442419627385,-0.09360136183676492,90.9374923587311
4,True,inner,0.05,0.2,0.02,t2_q4_mov_cur_inner_d_p050_w050,t2_q4_mov_cur_inner_d_m050_w050,t2_q4_mov_cur_baseline,0.05,False,0.9025145014685082,-145385.9581074104,-161089.88594737102,-0.790490546619448,373.4837593920529,-85527.35942035186,-94765.63454790782,-0.6793834698842903,213.9149376837886,-59858.59868705855,-66324.25139946322,-1.0315292706441075,159.5688217082352
4,True,inner,0.05,0.2,0.02,t2_q4_mov_cur_inner_d_p100_w050,t2_q4_mov_cur_inner_d_m100_w050,t2_q4_mov_cur_baseline,0.1,False,0.902514501468508,-145571.44458284543,-161295.4078255605,-0.7914990711514308,1494.5692534988048,-85639.09104125953,-94889.43490870633,-0.6802710059525439,866.1908894970838,-59932.35354158598,-66405.97291685428,-1.0328002708506927,628.3783640017209
4,True,inner,0.1,0.2,0.02,t2_q4_mov_cur_inner_d_p050_w100,t2_q4_mov_cur_inner_d_m050_w100,t2_q4_mov_cur_baseline,0.05,False,0.8100778965764142,-129259.47180297633,-159564.24974592967,-0.7028078354430006,333.2050710010226,-70446.74904806277,-86962.93201652315,-0.559591189704753,174.93776630834327,-58812.72275491356,-72601.31772940652,-1.0135059346300122,158.26730469270842
4,True,inner,0.1,0.2,0.02,t2_q4_mov_cur_inner_d_p100_w100,t2_q4_mov_cur_inner_d_m100_w100,t2_q4_mov_cur_baseline,0.1,False,0.8100778965764142,-129425.88937749999,-159769.6837853313,-0.703712678807276,1333.3676257099723,-70538.65160660433,-87076.38105510321,-0.5603212143370621,707.7010637849162,-58887.23777089552,-72693.3027302279,-1.0147900345216543,625.6665619250125
4,True,inner,0.2,0.2,0.02,t2_q4_mov_cur_inner_d_p050_w200,t2_q4_mov_cur_inner_d_m050_w200,t2_q4_mov_cur_baseline,0.05,False,0.6403262640162157,-98971.73457058932,-154564.54019209644,-0.5381277640498098,256.4719626243459,-46224.698938017245,-72189.29089069294,-0.36718421534003237,114.46387900228729,-52747.035632572006,-82375.24930140337,-0.9089773631214196,142.00808362202952
4,True,inner,0.2,0.2,0.02,t2_q4_mov_cur_inner_d_p100_w200,t2_q4_mov_cur_inner_d_m100_w200,t2_q4_mov_cur_baseline,0.1,False,0.6403262640162157,-99103.51480445388,-154770.3418923703,-0.5388442777383207,1026.2891100205015,-46287.87831096648,-72287.95836148036,-0.36768607839192907,461.6930940672755,-52815.63649348747,-82482.38353089006,-0.9101595457581306,564.5960159532697
4,True,lowC,0.1,0.15,0.02,t2_q4_mov_cur_lowC_d_p050_c150_s020,t2_q4_mov_cur_lowC_d_m050_c150_s020,t2_q4_mov_cur_baseline,0.05,True,0.3039627991093091,-56861.73519928212,-187068.0733494426,-0.30916785035184063,57.97634067002218,-26444.642853851838,-86999.60301504523,-0.21006205901436387,17.51197391920141,-30417.09234543072,-100068.4703343988,-0.524170658358231,40.464366750835325
4,True,lowC,0.1,0.15,0.02,t2_q4_mov_cur_lowC_d_p100_c150_s020,t2_q4_mov_cur_lowC_d_m100_c150_s020,t2_q4_mov_cur_baseline,0.1,True,0.30397962554004687,-56874.8214068533,-187100.76803933852,-0.30923900250099434,231.71836750535294,-26452.6793167086,-87021.22476041959,-0.2101258963648705,70.4968900559179,-30422.14209014466,-100079.54327891883,-0.5242576794311589,161.22147744943504
