% Model,Untitled.mph
% Version,COMSOL 6.0.0.318
% Date,"Sep 11 2026, 15:35"
% Dimension,2
% Nodes,28251
% Expressions,1
% Description,因变量 u
% Length unit,m
% r,z,u (m)
0.010796450033845948,0.13999999999999976,-0.49994171839388574
0.13999999999998014,0.010796450033846133,-0.4902000000589564
0.01619467505076892,0.13666666666666646,-0.4998688663105397
0.13666666666664673,0.016194675050769203,-0.4906611111701415
0.021592900067691895,0.13333333333333316,-0.49976687339385545
0.13333333333331332,0.021592900067692267,-0.49111111117021444
0.026991125084614875,0.1299999999999998,-0.49963573964383334
0.12999999998236114,0.026991125058394863,-0.49155000006146515
0.03238935010153787,0.1266666666666665,-0.49947546506047386
0.12666666659771222,0.03238935000744558,-0.4919777778457542
0.03778757511846086,0.12333333333333323,-0.4992860496437764
0.12333333428178093,0.03778757503668779,-0.4923944443867793
0.043185698348845565,0.11999985227496522,-0.4990674977894685
0.12000000052687446,0.04318580004203631,-0.4927999999961517
0.0485829444926694,0.11666510992907213,-0.49881984881257796
0.11666666666664627,0.04858402515230758,-0.4931944445038882
0.05397741196967288,0.11332735631642332,-0.49854321955885034
0.11333491901454162,0.053982481215580136,-0.4935775981254893
0.05936590861287878,0.1099875840408362,-0.4982378445075563
0.11000917657368564,0.059382018251737965,-0.49394899059435765
0.0647421054463095,0.10664223827779597,-0.4979042299514083
0.10669481251220131,0.06478437298330564,-0.4943081085511207
0.07010518364370462,0.10328503875037211,-0.497542631673301
0.10339743391514916,0.07019149572312668,-0.49465448538956663
0.07544764529979611,0.09991469887407323,-0.4971538264694548
0.10011089116321391,0.07560248707880915,-0.49498890479499563
0.08076932701143744,0.09652271642004269,-0.49673815796708903
0.09688536307237106,0.08104697811565582,-0.4953066132709631
0.0860265695803274,0.09310594673880929,-0.49629971472307893
0.0936839763937913,0.08647886107647222,-0.4956116563433705
0.0909122046670937,0.09109056995901105,-0.4958674855811739
0.0053982250169229765,0.14999999999999977,-0.4999854296438993
0,0.1533333333333331,-0.5000000000605702
0.14999999999998037,0.005398225016923066,-0.48875000005872854
0.15333333333331378,0,-0.48824444450309396
0.010796450033845948,0.14666666666666642,-0.49994171839389095
0.14666666666664696,0.010796450033846133,-0.4892444445032506
0.016194675050768922,0.14333333333333312,-0.4998688663105442
0.14333333333331355,0.016194675050769203,-0.4897277778366607
0.021592900067691895,0.13999999999999976,-0.4997668733938599
0.13999999999998014,0.021592900067692267,-0.4902000000589593
0.026991125084614875,0.13666666666666644,-0.49963573964383784
0.13666666666029134,0.02699112507596076,-0.4906611111710138
0.03238935010153786,0.13333333333333314,-0.49947546506047796
0.13333333331123848,0.03238935007293392,-0.4911111111731618
0.03778757511846085,0.1299999999999998,-0.4992860496437806
0.12999999997371306,0.037787575090834434,-0.4915500000625939
0.04318580013538384,0.12666666666666654,-0.4990674933937446
0.1266666668818888,0.04318580010030387,-0.491977777809762
0.0485838532921988,0.12333308263028171,-0.4988198046600125
0.12333333333331309,0.04858402515230758,-0.4923944445037612
0.05398094229822564,0.11999813296597144,-0.49854302899462405
0.11999999999997968,0.05398225016923063,-0.4928000000593839
0.059375078644233026,0.11666088250316027,-0.498237300078272
0.11666995751832797,0.059381128628444364,-0.4931940605657834
0.06476243023837985,0.11332077581782961,-0.49790291387503194
0.11334590561232154,0.06478210948543965,-0.4935763528999732
0.07013832262586824,0.10997003348406083,-0.49754030790977843
0.11003404164760851,0.07018921251451378,-0.4939462548989196
0.0754960373878843,0.10660320702644814,-0.4971501742294638
0.10673861621351306,0.07560953700091992,-0.4943034339640456
0.08083025313363736,0.10321493309057221,-0.49673323514920925
0.10346347700837,0.08106131279277302,-0.49464765452236037
0.08612495602198422,0.09976293061524977,-0.4962912460350671
0.10018232803559372,0.08660465165731311,-0.49498175063443167
0.09133278631212745,0.09662721996666779,-0.4958291611321189
0.09673491255665169,0.09264682427925165,-0.4953211784061335
0.0053982250169229765,0.15666666666666643,-0.4999854296439043
0,0.15999999999999975,-0.5000000000605755
0.1566666666666472,0.005398225016923066,-0.48772777783634685
0.1599999999999806,0,-0.48720000005848646
0.010796450033845951,0.1533333333333331,-0.49994171839389573
0.15333333333331378,0.010796450033846133,-0.4882444445030945
0.01619467505076892,0.14999999999999977,-0.4998688663105492
0.14999999999998037,0.016194675050769203,-0.48875000005872954
0.0215929000676919,0.14666666666666642,-0.49976687339386405
0.14666666666664696,0.021592900067692267,-0.4892444445032531
0.026991125084614875,0.1433333333333331,-0.4996357396438418
0.14333333333148401,0.02699112508225573,-0.48972777783692706
0.03238935010153786,0.13999999999999976,-0.49947546506048196
0.13999999999274718,0.032389350092507756,-0.49020000005997605
0.03778757511846085,0.13666666666666644,-0.4992860496437848
0.13666666665694804,0.03778757510768922,-0.49066111117147543
